year,basin,region,no,name,time,intensity,lat,lon
2020,SI,WA,62,CLAUDIA,2020-01-12:09:00:00,TS,-14.4757,121.567
2020,SI,WA,63,CLAUDIA,2020-01-12:12:00:00,TS,-14.88,120.725
2020,SI,WA,64,CLAUDIA,2020-01-12:15:00:00,TS,-15.3037,119.765
2020,SI,WA,65,CLAUDIA,2020-01-12:18:00:00,TS,-15.7,118.8
2020,SI,WA,66,CLAUDIA,2020-01-12:21:00:00,TS,-15.9871,117.982
2020,SI,WA,67,CLAUDIA,2020-01-13:00:00:00,TS,-16.25,117.2
2020,SI,WA,68,CLAUDIA,2020-01-13:03:00:00,TS,-16.5936,116.347
2020,SI,WA,69,CLAUDIA,2020-01-13:06:00:00,TS,-16.9,115.5
2020,SI,WA,70,CLAUDIA,2020-01-13:09:00:00,TS,-17.0683,114.717
2020,SI,WA,71,CLAUDIA,2020-01-13:12:00:00,TS,-17.2,113.95
2020,SI,WA,72,CLAUDIA,2020-01-13:15:00:00,TS,-17.415,113.132
2020,SI,WA,73,CLAUDIA,2020-01-13:18:00:00,TS,-17.6,112.35
2020,SI,WA,74,CLAUDIA,2020-01-13:21:00:00,TS,-17.661,111.651
2020,SI,WA,75,CLAUDIA,2020-01-14:00:00:00,TS,-17.7,111.05
2020,SI,WA,76,CLAUDIA,2020-01-14:03:00:00,TS,-17.8022,110.541
2020,SI,WA,77,CLAUDIA,2020-01-14:06:00:00,TS,-17.95,110.1
2020,SI,WA,78,CLAUDIA,2020-01-14:09:00:00,TS,-18.131,109.679
2020,SI,WA,79,CLAUDIA,2020-01-14:12:00:00,TS,-18.35,109.25
2020,SI,WA,80,CLAUDIA,2020-01-14:15:00:00,TS,-18.585,108.754
2020,SI,WA,81,CLAUDIA,2020-01-14:18:00:00,TS,-18.85,108.25
2020,SI,WA,82,CLAUDIA,2020-01-14:21:00:00,TS,-19.1386,107.792
2020,SI,WA,83,CLAUDIA,2020-01-15:00:00:00,TS,-19.45,107.35
2020,SI,WA,84,CLAUDIA,2020-01-15:03:00:00,TS,-19.775,106.889
2020,SI,WA,85,CLAUDIA,2020-01-15:06:00:00,TS,-20.1,106.45
2020,SI,WA,86,CLAUDIA,2020-01-15:09:00:00,TS,-20.4071,106.093
2020,SI,WA,87,CLAUDIA,2020-01-15:12:00:00,TS,-20.7,105.7
2020,SI,WA,88,CLAUDIA,2020-01-15:15:00:00,TS,-20.968,105.11
2020,SI,WA,89,CLAUDIA,2020-01-15:18:00:00,TS,-21.25,104.55
2020,SI,WA,90,CLAUDIA,2020-01-15:21:00:00,TS,-21.5772,104.207
2020,SI,WA,91,CLAUDIA,2020-01-16:00:00:00,TS,-21.95,104
2020,SI,WA,92,CLAUDIA,2020-01-16:03:00:00,TS,-22.3899,103.859
2020,SI,WA,93,CLAUDIA,2020-01-16:06:00:00,TS,-22.8,103.75
2020,SI,WA,94,CLAUDIA,2020-01-16:09:00:00,TS,-23.0762,103.591
2020,SI,WA,95,CLAUDIA,2020-01-16:12:00:00,NR,-23.3,103.415
2020,SI,WA,96,CLAUDIA,2020-01-16:15:00:00,NR,-23.5575,103.219
2020,SI,WA,97,CLAUDIA,2020-01-16:18:00:00,NR,-23.8,103.05
2020,SI,WA,98,CLAUDIA,2020-01-16:21:00:00,NR,-24.0299,102.966
2020,SI,WA,99,CLAUDIA,2020-01-17:00:00:00,NR,-24.2,102.9
2020,SI,WA,100,CLAUDIA,2020-01-17:03:00:00,NR,-24.2912,102.794
2020,SI,WA,101,CLAUDIA,2020-01-17:06:00:00,NR,-24.3,102.65
2020,SI,WA,102,CLAUDIA,2020-01-17:09:00:00,NR,-24.2773,102.503
2020,SI,WA,103,CLAUDIA,2020-01-17:12:00:00,NR,-24.15,102.25
2020,SI,WA,104,CLAUDIA,2020-01-17:15:00:00,NR,-23.8688,101.823
2020,SI,WA,105,CLAUDIA,2020-01-17:18:00:00,NR,-23.55,101.3
2020,SI,WA,106,CLAUDIA,2020-01-17:21:00:00,NR,-23.3162,100.777
2020,SI,WA,107,CLAUDIA,2020-01-18:00:00:00,NR,-23.15,100.25
2020,SI,WA,108,CLAUDIA,2020-01-18:03:00:00,NR,-23.0674,99.746
2020,SI,WA,109,CLAUDIA,2020-01-18:06:00:00,NR,-23,99.275
2020,SI,WA,110,CLAUDIA,2020-01-18:09:00:00,NR,-22.8647,98.8626
2020,SI,WA,111,CLAUDIA,2020-01-18:12:00:00,NR,-22.7,98.45
2020,SI,WA,112,CLAUDIA,2020-01-18:15:00:00,NR,-22.5288,97.9587
2020,SI,WA,113,CLAUDIA,2020-01-18:18:00:00,NR,-22.3571,97.45
2020,SI,WA,114,CLAUDIA,2020-01-18:21:00:00,NR,-22.1832,97.0218
2020,SI,WA,115,CLAUDIA,2020-01-19:00:00:00,NR,-22,96.65
2020,SI,WA,116,CLAUDIA,2020-01-19:03:00:00,NR,-21.8003,96.2597
2020,SI,WA,117,CLAUDIA,2020-01-19:06:00:00,NR,-21.6,95.9
2020,SI,MM,1,DIANE,2020-01-22:06:00:00,TS,-16.9,43.2
2020,SI,MM,2,DIANE,2020-01-22:09:00:00,TS,-16.8625,43.5048
2020,SI,MM,3,DIANE,2020-01-22:12:00:00,TS,-16.75,43.825
2020,SI,MM,4,DIANE,2020-01-22:15:00:00,TS,-16.7026,44.4086
2020,SI,MM,5,DIANE,2020-01-22:18:00:00,NR,-16.7429,45.1
2020,SI,MM,6,DIANE,2020-01-22:21:00:00,NR,-16.9088,45.8612
2020,SI,MM,7,DIANE,2020-01-23:00:00:00,NR,-17.15,46.6
2020,SI,MM,8,DIANE,2020-01-23:03:00:00,NR,-17.4458,47.2225
2020,SI,MM,9,DIANE,2020-01-23:06:00:00,NR,-17.75,47.8
2020,SI,MM,10,DIANE,2020-01-23:09:00:00,NR,-18.0272,48.3848
2020,SI,MM,11,DIANE,2020-01-23:12:00:00,TS,-18.2,49
2020,SI,MM,12,DIANE,2020-01-23:15:00:00,TS,-18.1648,49.6783
2020,SI,MM,13,DIANE,2020-01-23:18:00:00,TS,-18.1,50.4
2020,SI,MM,14,DIANE,2020-01-23:21:00:00,TS,-18.1909,51.1274
2020,SI,MM,15,DIANE,2020-01-24:00:00:00,TS,-18.35,51.9
2020,SI,MM,16,DIANE,2020-01-24:03:00:00,TS,-18.5098,52.7314
2020,SI,MM,17,DIANE,2020-01-24:06:00:00,TS,-18.7,53.6
2020,SI,MM,18,DIANE,2020-01-24:09:00:00,TS,-18.9211,54.4825
2020,SI,MM,19,DIANE,2020-01-24:12:00:00,TS,-19.15,55.35
2020,SI,MM,20,DIANE,2020-01-24:15:00:00,TS,-19.3419,56.158
2020,SI,MM,21,DIANE,2020-01-24:18:00:00,TS,-19.55,56.95
2020,SI,MM,22,DIANE,2020-01-24:21:00:00,TS,-19.8022,57.7715
2020,SI,MM,23,DIANE,2020-01-25:00:00:00,TS,-20.1,58.6
2020,SI,MM,24,DIANE,2020-01-25:03:00:00,TS,-20.4458,59.4213
2020,SI,MM,25,DIANE,2020-01-25:06:00:00,TS,-20.8,60.25
2020,SI,MM,26,DIANE,2020-01-25:09:00:00,TS,-21.1102,61.0557
2020,SI,MM,27,DIANE,2020-01-25:12:00:00,TS,-21.4,61.95
2020,SI,MM,28,DIANE,2020-01-25:15:00:00,TS,-21.6525,63.0347
2020,SI,MM,29,DIANE,2020-01-25:18:00:00,TS,-21.95,64.2
2020,SI,MM,30,DIANE,2020-01-25:21:00:00,TS,-22.3368,65.3999
2020,SI,MM,31,DIANE,2020-01-26:00:00:00,TS,-22.85,66.45
2020,SI,MM,32,DIANE,2020-01-26:03:00:00,TS,-23.6046,67.1348
2020,SI,MM,33,DIANE,2020-01-26:06:00:00,TS,-24.25,67.7
2020,SI,MM,34,DIANE,2020-01-26:09:00:00,TS,-24.4489,68.4296
2020,SI,MM,35,DIANE,2020-01-26:12:00:00,MX,-24.4,69.15
2020,SI,MM,36,DIANE,2020-01-26:15:00:00,MX,-24.2821,69.7845
2020,SI,MM,37,DIANE,2020-01-26:18:00:00,MX,-24.15,70.35
2020,SI,MM,38,DIANE,2020-01-26:21:00:00,MX,-24.0739,70.9249
2020,SI,MM,39,DIANE,2020-01-27:00:00:00,MX,-24.2,71.35
2020,SI,MM,40,DIANE,2020-01-27:03:00:00,MX,-24.7047,71.525
2020,SI,MM,41,DIANE,2020-01-27:06:00:00,MX,-25.3,71.55
2020,SI,MM,42,DIANE,2020-01-27:09:00:00,MX,-25.6437,71.5912
2020,SI,MM,43,DIANE,2020-01-27:12:00:00,MX,-25.95,71.55
2020,SI,MM,44,DIANE,2020-01-27:15:00:00,MX,-26.3486,71.4347
2020,SI,MM,45,DIANE,2020-01-27:18:00:00,MX,-26.8,71.2
2020,SI,MM,46,DIANE,2020-01-27:21:00:00,MX,-27.2848,70.8671
2020,SI,MM,47,DIANE,2020-01-28:00:00:00,MX,-27.8,70.4
2020,SI,MM,48,DIANE,2020-01-28:03:00:00,MX,-28.3365,69.7979
2020,SI,MM,49,DIANE,2020-01-28:06:00:00,MX,-28.85,69.15
2020,SI,MM,50,DIANE,2020-01-28:09:00:00,MX,-29.3123,68.5697
2020,SI,MM,51,DIANE,2020-01-28:12:00:00,MX,-29.7,68.05
2020,SI,MM,52,DIANE,2020-01-28:15:00:00,MX,-29.9636,67.5866
2020,SI,MM,53,DIANE,2020-01-28:18:00:00,MX,-30.25,67.2
2020,SI,MM,54,DIANE,2020-01-28:21:00:00,MX,-30.6937,66.8551
2020,SI,MM,55,DIANE,2020-01-29:00:00:00,MX,-31.25,66.6
2020,SI,MM,56,DIANE,2020-01-29:03:00:00,MX,-31.8512,66.4445
2020,SI,MM,57,DIANE,2020-01-29:06:00:00,MX,-32.5571,66.3429
2020,SI,MM,58,DIANE,2020-01-29:09:00:00,MX,-33.3974,66.2513
2020,SI,MM,59,DIANE,2020-01-29:12:00:00,MX,-34.25,66.125
2020,SI,MM,60,DIANE,2020-01-29:15:00:00,SS,-34.9603,65.8412
2020,SI,MM,61,DIANE,2020-01-29:18:00:00,SS,-35.5,65.5
2020,SI,MM,1,FRANCISCO,2020-02-03:06:00:00,TS,-13,63.15
2020,SI,MM,2,FRANCISCO,2020-02-03:09:00:00,TS,-13.3141,63.4633
2020,SI,MM,3,FRANCISCO,2020-02-03:12:00:00,TS,-13.6,63.7
2020,SI,MM,4,FRANCISCO,2020-02-03:15:00:00,TS,-13.8399,63.8152
2020,SI,MM,5,FRANCISCO,2020-02-03:18:00:00,TS,-14.05,63.9
2020,SI,MM,6,FRANCISCO,2020-02-03:21:00:00,TS,-14.2687,64.045
2020,SI,MM,7,FRANCISCO,2020-02-04:00:00:00,TS,-14.45,64.25
2020,SI,MM,8,FRANCISCO,2020-02-04:03:00:00,TS,-14.5538,64.5238
2020,SI,MM,9,FRANCISCO,2020-02-04:06:00:00,TS,-14.65,64.85
2020,SI,MM,10,FRANCISCO,2020-02-04:09:00:00,TS,-14.7799,65.1815
2020,SI,MM,11,FRANCISCO,2020-02-04:12:00:00,TS,-15,65.55
2020,SI,MM,12,FRANCISCO,2020-02-04:15:00:00,TS,-15.3849,65.9598
2020,SI,MM,13,FRANCISCO,2020-02-04:18:00:00,TS,-15.8,66.4
2020,SI,MM,14,FRANCISCO,2020-02-04:21:00:00,TS,-16.0936,66.8353
2020,SI,MM,15,FRANCISCO,2020-02-05:00:00:00,TS,-16.35,67.3
2020,SI,MM,16,FRANCISCO,2020-02-05:03:00:00,TS,-16.6361,67.8025
2020,SI,MM,17,FRANCISCO,2020-02-05:06:00:00,TS,-16.9,68.35
2020,SI,MM,18,FRANCISCO,2020-02-05:09:00:00,TS,-17.1112,68.9389
2020,SI,MM,19,FRANCISCO,2020-02-05:12:00:00,TS,-17.3,69.55
2020,SI,MM,20,FRANCISCO,2020-02-05:15:00:00,TS,-17.4925,70.1763
2020,SI,MM,21,FRANCISCO,2020-02-05:18:00:00,TS,-17.7,70.75
2020,SI,MM,22,FRANCISCO,2020-02-05:21:00:00,TS,-17.9274,71.2276
2020,SI,MM,23,FRANCISCO,2020-02-06:00:00:00,TS,-18.2,71.6
2020,SI,MM,24,FRANCISCO,2020-02-06:03:00:00,TS,-18.5349,71.9062
2020,SI,MM,25,FRANCISCO,2020-02-06:06:00:00,TS,-18.9,72.1
2020,SI,MM,26,FRANCISCO,2020-02-06:09:00:00,TS,-19.2612,72.2175
2020,SI,MM,27,FRANCISCO,2020-02-06:12:00:00,TS,-19.6,72.2
2020,SI,MM,28,FRANCISCO,2020-02-06:15:00:00,TS,-19.9125,72.0414
2020,SI,MM,29,FRANCISCO,2020-02-06:18:00:00,TS,-20.15,71.8
2020,SI,MM,30,FRANCISCO,2020-02-06:21:00:00,TS,-20.2874,71.6049
2020,SI,MM,31,FRANCISCO,2020-02-07:00:00:00,TS,-20.35,71.35
2020,SI,MM,32,FRANCISCO,2020-02-07:03:00:00,TS,-20.3938,70.9762
2020,SI,MM,33,FRANCISCO,2020-02-07:06:00:00,TS,-20.4,70.55
2020,SI,MM,34,FRANCISCO,2020-02-07:09:00:00,TS,-20.3786,70.1537
2020,SI,MM,35,FRANCISCO,2020-02-07:12:00:00,TS,-20.35,69.75
2020,SI,MM,36,FRANCISCO,2020-02-07:15:00:00,TS,-20.3462,69.325
2020,SI,MM,37,FRANCISCO,2020-02-07:18:00:00,TS,-20.35,68.9
2020,SI,MM,38,FRANCISCO,2020-02-07:21:00:00,TS,-20.3688,68.4776
2020,SI,MM,39,FRANCISCO,2020-02-08:00:00:00,TS,-20.35,68.1
2020,SI,MM,40,FRANCISCO,2020-02-08:03:00:00,TS,-20.2212,67.7761
2020,SI,MM,41,FRANCISCO,2020-02-08:06:00:00,TS,-20.1,67.55
2020,SI,MM,42,FRANCISCO,2020-02-08:09:00:00,TS,-20.0949,67.4451
2020,SI,MM,43,FRANCISCO,2020-02-08:12:00:00,TS,-20.15,67.4
2020,SI,MM,44,FRANCISCO,2020-02-08:15:00:00,TS,-20.2137,67.325
2020,SI,MM,45,FRANCISCO,2020-02-08:18:00:00,TS,-20.3,67.25
2020,SI,MM,46,FRANCISCO,2020-02-08:21:00:00,TS,-20.3813,67.175
2020,SI,MM,47,FRANCISCO,2020-02-09:00:00:00,TS,-20.5,67.1
2020,SI,MM,48,FRANCISCO,2020-02-09:03:00:00,TS,-20.6737,67.0586
2020,SI,MM,49,FRANCISCO,2020-02-09:06:00:00,TS,-20.9,66.95
2020,SI,MM,50,FRANCISCO,2020-02-09:09:00:00,TS,-21.1676,66.6876
2020,SI,MM,51,FRANCISCO,2020-02-09:12:00:00,TS,-21.45,66.35
2020,SI,MM,52,FRANCISCO,2020-02-09:15:00:00,TS,-21.7337,66.04
2020,SI,MM,53,FRANCISCO,2020-02-09:18:00:00,TS,-21.95,65.7
2020,SI,MM,54,FRANCISCO,2020-02-09:21:00:00,TS,-22.0409,65.3449
2020,SI,MM,55,FRANCISCO,2020-02-10:00:00:00,TS,-22.05,64.9
2020,SI,MM,56,FRANCISCO,2020-02-10:03:00:00,TS,-22.0549,64.3239
2020,SI,MM,57,FRANCISCO,2020-02-10:06:00:00,TS,-22,63.65
2020,SI,MM,58,FRANCISCO,2020-02-10:09:00:00,TS,-21.9212,62.933
2020,SI,MM,59,FRANCISCO,2020-02-10:12:00:00,TS,-21.7,62.2
2020,SI,MM,60,FRANCISCO,2020-02-10:15:00:00,TS,-21.2298,61.5056
2020,SI,MM,61,FRANCISCO,2020-02-10:18:00:00,TS,-20.7,60.85
2020,SI,MM,62,FRANCISCO,2020-02-10:21:00:00,TS,-20.2975,60.2014
2020,SI,MM,63,FRANCISCO,2020-02-11:00:00:00,TS,-20,59.65
2020,SI,MM,64,FRANCISCO,2020-02-11:03:00:00,TS,-19.8344,59.3007
2020,SI,MM,65,FRANCISCO,2020-02-11:06:00:00,TS,-19.7,58.95
2020,SI,MM,66,FRANCISCO,2020-02-11:09:00:00,TS,-19.454,58.3684
2020,SI,MM,67,FRANCISCO,2020-02-11:12:00:00,TS,-19.2,57.75
2020,SI,MM,68,FRANCISCO,2020-02-11:15:00:00,TS,-19.0171,57.2716
2020,SI,MM,69,FRANCISCO,2020-02-11:18:00:00,TS,-18.85,56.8
2020,SI,MM,70,FRANCISCO,2020-02-11:21:00:00,TS,-18.6388,56.2286
2020,SI,MM,71,FRANCISCO,2020-02-12:00:00:00,TS,-18.45,55.65
2020,SI,MM,72,FRANCISCO,2020-02-12:03:00:00,TS,-18.3197,55.1464
2020,SI,MM,73,FRANCISCO,2020-02-12:06:00:00,TS,-18.25,54.65
2020,SI,MM,74,FRANCISCO,2020-02-12:09:00:00,TS,-18.2424,54.1114
2020,SI,MM,75,FRANCISCO,2020-02-12:12:00:00,TS,-18.25,53.55
2020,SI,MM,76,FRANCISCO,2020-02-12:15:00:00,TS,-18.2113,52.9563
2020,SI,MM,77,FRANCISCO,2020-02-12:18:00:00,TS,-18.15,52.4
2020,SI,MM,78,FRANCISCO,2020-02-12:21:00:00,TS,-18.0674,51.9337
2020,SI,MM,79,FRANCISCO,2020-02-13:00:00:00,TS,-18,51.55
2020,SI,MM,80,FRANCISCO,2020-02-13:03:00:00,TS,-17.9849,51.2276
2020,SI,MM,81,FRANCISCO,2020-02-13:06:00:00,TS,-18,50.95
2020,SI,MM,82,FRANCISCO,2020-02-13:09:00:00,TS,-18.0062,50.66
2020,SI,MM,83,FRANCISCO,2020-02-13:12:00:00,TS,-18.05,50.4
2020,SI,MM,84,FRANCISCO,2020-02-13:15:00:00,TS,-18.16,50.1738
2020,SI,MM,85,FRANCISCO,2020-02-13:18:00:00,TS,-18.3,50
2020,SI,MM,86,FRANCISCO,2020-02-13:21:00:00,TS,-18.425,49.8737
2020,SI,MM,87,FRANCISCO,2020-02-14:00:00:00,TS,-18.55,49.8
2020,SI,MM,88,FRANCISCO,2020-02-14:03:00:00,TS,-18.6787,49.7637
2020,SI,MM,89,FRANCISCO,2020-02-14:06:00:00,TS,-18.8,49.75
2020,SI,MM,90,FRANCISCO,2020-02-14:09:00:00,TS,-18.8962,49.7287
2020,SI,MM,91,FRANCISCO,2020-02-14:12:00:00,TS,-19,49.7
2020,SI,MM,92,FRANCISCO,2020-02-14:15:00:00,TS,-19.1425,49.6724
2020,SI,MM,93,FRANCISCO,2020-02-14:18:00:00,TS,-19.3,49.6
2020,SI,MM,94,FRANCISCO,2020-02-14:21:00:00,TS,-19.4425,49.4512
2020,SI,MM,95,FRANCISCO,2020-02-15:00:00:00,TS,-19.6,49.25
2020,SI,MM,96,FRANCISCO,2020-02-15:03:00:00,TS,-19.8263,49.0214
2020,SI,MM,97,FRANCISCO,2020-02-15:06:00:00,TS,-20,48.8
2020,SI,MM,98,FRANCISCO,2020-02-15:09:00:00,TS,-20.0125,48.6349
2020,SI,MM,99,FRANCISCO,2020-02-15:12:00:00,TS,-19.95,48.5
2020,SI,MM,100,FRANCISCO,2020-02-15:15:00:00,TS,-19.8938,48.3738
2020,SI,MM,101,FRANCISCO,2020-02-15:18:00:00,TS,-19.85,48.25
2020,SI,WA,1,DAMIEN,2020-02-03:00:00:00,NR,-16.7,129.3
2020,SI,WA,2,DAMIEN,2020-02-03:03:00:00,NR,-16.6451,129.135
2020,SI,WA,3,DAMIEN,2020-02-03:06:00:00,NR,-16.6,129
2020,SI,WA,4,DAMIEN,2020-02-03:09:00:00,NR,-16.5648,128.895
2020,SI,WA,5,DAMIEN,2020-02-03:12:00:00,NR,-16.5,128.7
2020,SI,WA,6,DAMIEN,2020-02-03:15:00:00,NR,-16.3577,128.28
2020,SI,WA,7,DAMIEN,2020-02-03:18:00:00,NR,-16.2,127.82
2020,SI,WA,8,DAMIEN,2020-02-03:21:00:00,NR,-16.0949,127.533
2020,SI,WA,9,DAMIEN,2020-02-04:00:00:00,NR,-16.0429,127.271
2020,SI,WA,10,DAMIEN,2020-02-04:03:00:00,NR,-16.0524,126.959
2020,SI,WA,11,DAMIEN,2020-02-04:06:00:00,NR,-16.1,126.55
2020,SI,WA,12,DAMIEN,2020-02-04:09:00:00,NR,-16.1638,126.065
2020,SI,WA,13,DAMIEN,2020-02-04:12:00:00,TS,-16.25,125.55
2020,SI,WA,14,DAMIEN,2020-02-04:15:00:00,TS,-16.3499,125.056
2020,SI,WA,15,DAMIEN,2020-02-04:18:00:00,TS,-16.45,124.6
2020,SI,WA,16,DAMIEN,2020-02-04:21:00:00,TS,-16.5435,124.217
2020,SI,WA,17,DAMIEN,2020-02-05:00:00:00,TS,-16.6,123.85
2020,SI,WA,18,DAMIEN,2020-02-05:03:00:00,TS,-16.575,123.432
2020,SI,WA,19,DAMIEN,2020-02-05:06:00:00,TS,-16.55,123
2020,SI,WA,20,DAMIEN,2020-02-05:09:00:00,TS,-16.6213,122.549
2020,SI,WA,21,DAMIEN,2020-02-05:12:00:00,TS,-16.7,122.15
2020,SI,WA,22,DAMIEN,2020-02-05:15:00:00,TS,-16.7033,121.93
2020,SI,WA,23,DAMIEN,2020-02-05:18:00:00,TS,-16.7,121.65
2020,SI,WA,24,DAMIEN,2020-02-05:21:00:00,TS,-16.728,121.044
2020,SI,WA,25,DAMIEN,2020-02-06:00:00:00,TS,-16.8,120.4
2020,SI,WA,26,DAMIEN,2020-02-06:03:00:00,TS,-16.9233,120.023
